Beer,Brewery,Rating
Hopfentea,Perennial Artisan Ales,4.06
Double Double Barrel Ale,Firestone Walker Brewing Co.,4.05
Bell's Kalamazoo Stout,"Bell's Brewery, Inc.",3.63
Oak Theory,Casey Brewing & Blending,4.34
Le Roar Grrrz Kriek,Bullfrog Brewery,4.25
Advanced Oak Theory,Casey Brewing & Blending,4.02
Le Roar Grrrz Apricot,Bullfrog Brewery,4.46
The Abyss,Deschutes Brewery,4.00
Dry Hopped Oak Theory - Galaxy And Simcoe,Casey Brewing & Blending,4.60
Yellow Umbrella,Goose Island Beer Co.,2.84
Fruit Stand - Black Amber/Italian Plum,Casey Brewing & Blending,4.21
Mexican Brunch,Kane Brewing Company,4.74
The Cut: Blackberry,Casey Brewing & Blending,4.43
Bantam,Prohibition Pig,4.00
Nutulhu,Goose Island Beer Co.,4.56
Budweiser,Anheuser-Busch,2.87
The Cut: Balaton Cherry,Casey Brewing & Blending,4.80
Late Harvest (Sole Comp),Upright Brewing Company,4.25
Cigar City / Cycle / 7venth Sun/ J Wakefield A Beer Named Sue,Cigar City Brewing,4.00
Guillemot Nebula,Tired Hands Brewing Company,3.88
Birra Peroni,Birra Peroni Industriale S.p.A.,3.13
Fruit Stand - Peach,Casey Brewing & Blending,4.25
Another One,Maine Beer Company,4.44
La Folie Falling Rock's 10th Anniversary,New Belgium Brewing,4.46
Tuesday,Peg's Cantina & Brew Pub,4.23
Bourbon Barrel Porter,AleWerks Brewing Company,4.37
Censored,Lagunitas Brewing Company,3.90
Monday,Peg's Cantina & Brew Pub,4.00
Avery India Pale Ale (IPA),Avery Brewing Company,3.50
Ecliptic / Wicked Weed / Stone Points Unknown IPA,Stone Brewing Co.,3.85
Otto's Jacket,Cellarmaker Brewing Co.,4.21
Typo Pills,Cellarmaker Brewing Co.,4.00
Primator Dark Lager,Pivovar Náchod a.s.,3.60
Sump Coffee Stout,Perennial Artisan Ales,4.68
Upland Brewing / Jolly Pumpkin Permission Slip,Upland Brewing Company,4.00
Siren,Barrier Brewing Company,3.56
Kinroo Blue Belgium Wit,Brouwerij Martens NV,3.51
Molotov Lite,Evil Twin Brewing,3.92
Terrapin Mosaic Red Rye IPA,Terrapin Beer Company,3.46
Boon Oude Geuze Mariage Parfait,Brouwerij Boon,4.39
Jai Alai IPA - White Oak,Cigar City Brewing,3.83
Hop Gun,Funky Buddha Brewery,3.77
Buckwheat Blossom Honey,Whitehorse Brewing LLC,3.41
Terrapin Hopsecutioner,Terrapin Beer Company,3.97
Trappistes Rochefort 10,Brasserie de Rochefort,4.49
Half Hitch,Crux Fermentation Project,4.33
Ola Dubh Special Reserve 12,Harviestoun Brewery Ltd.,4.00
CBC Blanc Saison,Victory Brewing Company,4.31
Sinister Kid,Trillium Brewing Company,3.70
Lord Barlow - Fut De Cabernet Californien,Le Trou Du Diable,3.47
Belgian Dubbel,Brix City Brewing,4.35
Postel Tripel,Brouwerij De Smedt / Brouwerij Affligem,4.19
Gloria Belgian Blonde Ale,Brix City Brewing,5.00
Highland Black Mocha Stout,Highland Brewing,3.23
Brews Willis IPA,Brix City Brewing,5.00
Wood + Sour: Noir,Pagosa Brewing Co.,4.02
Founders Pale Ale,Founders Brewing Company,3.60
KTK,Brix City Brewing,4.94
La Bière Du Pêcheur,Brasserie Dieu Du Ciel,4.03
Dundee Original Honey Brown Lager,Genesee Brewing Co. / Dundee Brewing Co.,3.25
Wild Sour Series: Flanders Red,DESTIHL Brewery,3.85
Breakfast Stout,Backcountry Brewery,4.06
Beanhead Coffee Porter,Rushing Duck Brewing Company,4.50
Space Dust IPA,Elysian Brewing Company,4.50
Pipeworks / 4 Hands Square Grouper,Pipeworks Brewing Company,4.30
R&D Wild Bitter,New Glarus Brewing Company,4.11
Genesee Brew House Scotch Ale,Genesee Brewing Co. / Dundee Brewing Co.,3.25
Vallejo,Half Acre Beer Company,4.09
Moon Man,New Glarus Brewing Company,4.34
Lindemans Cassis,Brouwerij Lindemans,4.12
Mississippi Mud Black & Tan,Mississippi Brewing Co.,3.93
Sharpshooter Session Wheat IPA,Great Lakes Brewing Co.,3.67
Beer Camp: Hoppy Lager (2015),Sierra Nevada Brewing Co.,3.42
Peachin' Camaro,Toolbox Brewing Company,3.63
Bourbon Barrel Aged Wee Heavy Ale,Blue Pants Brewery,4.45
The Money,Pipeworks Brewing Company,4.10
Wakatu Showers,Noble Ale Works,3.98
Negra Modelo,Grupo Modelo S.A. de C.V.,3.42
Burro De Sancho Rubia,Daviyun (Cerveza SAGRA),3.56
Valentins Weißbier,Park & Bellheimer AG,3.00
Regular Coffee,Carton Brewing Company,4.54
Maisel's Weisse Dunkel,Brauerei Gebrüder Maisel GmbH & Co.,3.05
Saison Ridge,Breckenridge Brewery,3.00
Maisel's Weisse Original,Brauerei Gebrüder Maisel GmbH & Co.,3.50
C-DOS Cuvée Delphine On Steroids Aka Pablo Eiscobar,De Struise Brouwers,4.99
Cuvée Alex Le Rouge (Jurassian Imperial Stout),BFM (Brasserie des Franches-Montagnes),4.24
Geriatric Hipster Club,The Bruery,3.54
St. Louis Gueuze Fond Tradition,Brouwerij Van Honsebrouck N.V.,3.85
Prairie Okie,Prairie Artisan Ales,4.42
Aecht Schlenkerla Rauchbier Märzen,Brauerei Heller-Trum / Schlenkerla,3.99
Imperialist,De Struise Brouwers,3.92
Aecht Schlenkerla Rauchbier Weizen,Brauerei Heller-Trum / Schlenkerla,3.79
PsycHOPathy IPA,MadTree Brewing,3.00
Barrel Aged Farmhouse Pale Ale,Oxbow Brewing Company,4.50
Schneider Aventinus Weizen-Eisbock,Weisses Bräuhaus G. Schneider & Sohn GmbH,4.21
Festivale,Beau's All Natural Brewing Company,3.77
Boulevard / Sierra Nevada Terra Incognita,Boulevard Brewing Co.,3.65
Twerp,Rhinegeist Brewery,3.00
Sriracha Hot Stout,Rogue Ales,3.59
