Beer,Brewery,Rating
Raftman,Unibroue,3.95
Saloon Door Saison,Crown Valley Brewing & Distilling Co.,3.70
Hop Hunter,Sierra Nevada Brewing Co.,3.99
Dopplevision,Milwaukee Brewing Company,3.71
Citra Melon,Paw Paw Brewing Company,3.99
Exit 3 Blueberry Braggot,Flying Fish Brewing Company,3.75
Imperial Maple Stout,Bent Hill Brewery,4.02
SLOambic,Firestone Walker Brewing Co.,4.31
König Pilsener,König-Brauerei GmbH,3.77
The First Nail (2015),Fremont Brewing Company,4.10
Rock Dodger,Confluence Brewing Company,3.75
Julius Echter Hefe-Weissbier Hell,Würzburger Hofbräu AG,4.02
500 BC Double IPA,Humboldt Brewing Co.,4.00
Single Rye IPA,Ritual Brewing Co.,3.17
Red Brick Atomic Frog Double India Pale Lager,Red Brick Brewing Company,4.00
Green Diamonds Double IPA,Other Half Brewing Co.,4.38
Long Trail Ale,Long Trail Brewing Co.,3.75
The Immortal IPA,Elysian Brewing Company,3.75
Sweetwater Happy Ending Imperial Stout,SweetWater Brewing Company,3.92
Funk Metal Sour Barrel-Aged Stout,Jester King Brewery,4.16
Lost Gold IPA,Real Ale Brewing Company,3.13
Saranac Gen IV,Matt Brewing Company / Saranac Brewery,3.43
Fireman's #4,Real Ale Brewing Company,2.96
Summer Wheat Ale,Yazoo Brewing Company,4.12
Strawberry Pig Cream Ale,Christian Moerlein Brewing Company,2.99
Wipeout IPA,Port Brewing,4.21
Larine Grand 95,Darguner Brauerei GmbH,1.78
Brown Mountain Ale,Appalachian Brewing Company,4.34
Samuel Smith's Organic Raspberry Fruit Beer,Samuel Smith Old Brewery (Tadcaster),3.42
Founders Backwoods Bastard,Founders Brewing Company,4.52
Shock Top Honeycrisp Apple Wheat,Anheuser-Busch,3.25
Stone Pale Ale 2.0,Stone Brewing Co.,3.64
Tank 7 Farmhouse Ale,Boulevard Brewing Co.,4.23
Love Child No. 5,Boulevard Brewing Co.,4.46
Narwhal Imperial Stout - Barrel Aged,Sierra Nevada Brewing Co.,4.18
Bourbon Barrel Aged Siberian Night Imperial Stout,Thirsty Dog Brewing Company,4.08
Anchor Summer Wheat,Anchor Brewing Company,3.35
Motley Cru 2015,Bellwoods Brewery,3.98
Sauvageonne,Le Trèfle Noir,3.96
Samuel Smith's Yorkshire Stingo,Samuel Smith Old Brewery (Tadcaster),3.85
Buckley,Transient Artisan Ales,4.23
Samuel Adams Rebel Rider,Boston Beer Company (Samuel Adams),3.68
Shapeshifter,Grimm Artisanal Ales,3.50
§ucaba,Firestone Walker Brewing Co.,4.60
Apocalypse Cow,3 Floyds Brewing Co.,4.26
Southern Charred (2014),Stone Brewing Co.,4.60
Hazy Jane,Mystic Brewery,4.25
Ommegang Duvel Rustica,Brewery Ommegang,3.88
Toccalmatto/Prairie Ales Okie Matilda,Birra Toccalmatto,4.00
Yup,Tired Hands Brewing Company,3.48
Gulden Draak 9000 Quadruple,Brouwerij Van Steenberge N.V.,4.10
For The Mad Ones,Green Bench Brewing Co.,3.75
Stumpy Duck,Trillium Brewing Company,5.00
Epicurean Fig & Coffee,Epic Brewing Company,4.10
Heavy Lifting IPA,Boulevard Brewing Co.,3.80
Metamodern,Oasis Texas Brewing Company,3.76
Dorado Double IPA,Ballast Point Brewing Company,4.47
Native IPA,Foley Brothers Brewing,3.32
Founders Dirty Bastard,Founders Brewing Company,4.09
Hop Shortage,Knee Deep Brewing Company,4.09
Elevation - E3 - Triple IPA,Renegade Brewing Company,3.56
Galaxy Dry Hopped Fort Point Pale Ale,Trillium Brewing Company,4.59
Nope (Awake Minds Coffee),Tired Hands Brewing Company,4.06
Orange Bliss Stout,Westbrook Brewing Co.,3.95
Da Fuzz,Pipeworks Brewing Company,4.21
Bell's Oberon Ale,"Bell's Brewery, Inc.",3.54
Tecate,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",2.67
Nope,Tired Hands Brewing Company,3.70
Josef Belgian Blonde Ale,Brouwerij Martens NV,3.13
Pale Dog,Hops and Grain Brewery,3.60
Michelob Ultra,Anheuser-Busch,1.83
Oude Gueuze,Hanssens Artisanaal bvba,4.75
Doomtree,Surly Brewing Company,3.70
Kuhnhenn DRIPA (Double Rice IPA),Kuhnhenn Brewing Company,4.49
Beret,The Bruery,3.93
L’deracola,The Bruery,3.30
Barrel Trolley Nut Brown Ale,World Brews,3.37
Good Juju (Ginger Ale),Left Hand Brewing Company,3.38
Shock Top Belgian White,Anheuser-Busch,2.89
Anna,Hill Farmstead Brewery,4.71
Conduct Of Life #1,Hill Farmstead Brewery,4.60
Even Keel Session IPA,Ballast Point Brewing Company,4.19
Flora Cherry,Hill Farmstead Brewery,4.37
Bud Light Platinum,Anheuser-Busch,1.95
Recurrant,Wicked Weed Brewing,4.38
Flying Monkeys The Chocolate Manifesto,Flying Monkeys Craft Brewery,3.67
Chunky,Burlington Beer Co.,3.73
Double Shot - Ground Cardamom,Tree House Brewing Company,4.51
Bud Light,Anheuser-Busch,2.34
Hop Delusion,Karbach Brewing Co.,4.12
Red Swingline,Trinity Brewing Company,4.28
Evander Beer,Cigar City Brewing,3.85
Aldred,Le Trou Du Diable,3.73
Dos Equis Special Lager,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",3.09
Corona Extra,Grupo Modelo S.A. de C.V.,3.51
"Troïka - Le Trou Du Diable, La Brasserie Dunham And Le Vices & Versa",Le Trou Du Diable,3.83
Gastown Amber Ale,Granville Island Brewery,3.41
Jumping Cow Amber Ale,Steinhaus Brewing Co.,3.81
Hopjob Session IPA,Foothills Brewing Company,3.77
Black Toad Dark Ale,Black Toad Brewing Co.,4.32
Eschaton,Wild Heaven Craft Beers,3.75
Green Flash Le Freak,Green Flash Brewing Co.,4.23
Douze,BFM (Brasserie des Franches-Montagnes),3.69
Kilt Lifter Scottish Style Ale,Four Peaks Brewing Company - 8th Street Brewery,3.97
Quality Of Life,Sante Adairius Rustic Ales,4.25
Squanto,Mayflower Brewing Company,4.87
Excursions #1,Hill Farmstead Brewery,4.21
Hoppy Bitch IPA,Northwest Brewing Company,3.28
Blind Man's Holiday GPA,Gibb's Hundred Brewing Co.,4.87
Mach 10,Bear Republic Brewing Co.,4.45
Surette Reserva Cassis,Crooked Stave Brewery & Taproom,4.35
Double Shot - Dark Cherries And Cocoa Nibs,Tree House Brewing Company,4.77
Good Vibes,Voodoo Brewing Company,4.00
Dirty Little Freak,DuClaw Brewing Company,3.62
Big Eye IPA,Ballast Point Brewing Company,3.61
Darkest Hour,Anchorage Brewing Company,4.00
Yosemite Scooter,Short's Brewing Company,3.52
Present Moment,Tree House Brewing Company,4.25
Willibrord,Benelux Brasserie Artisanale,3.51
Green,Tree House Brewing Company,4.25
Alien Church,Tired Hands Brewing Company,4.42
Rauchstack,Beau's All Natural Brewing Company,3.39
Shark Attack Double Red Ale,Port Brewing,3.97
Velvet (Barhatnoye),Baltika Breweries,3.28
Schlafly Kölsch,The Schlafly Tap Room,3.50
Apricotopus,Parallel 49 Brewing Company,3.60
Rye Of The Tiger IPA,Great Lakes Brewing Co.,4.21
Flying Monkeys Shoulders Of Giants,Flying Monkeys Craft Brewery,3.41
Sierra Nevada Glissade Golden Bock,Sierra Nevada Brewing Co.,3.10
Mega Black House,Modern Times Beer,4.24
Troy,Benelux Brasserie Artisanale,3.56
Deschutes River Ale,Deschutes Brewery,3.78
Chocolate Tom (Old Tom With Chocolate),Frederic Robinson Limited,4.76
Cushing,Phantom Carriage,4.34
Porta Coeli,Benelux Brewpub & Café,2.94
Up Top IPA,JDub's Brewing Company,3.90
Golden Arm,Piece Brewery & Pizzeria,3.92
Hunahpu's Imperial Stout - Double Barrel Aged,Cigar City Brewing,5.00
People's Porter,Foothills Brewing Company,3.90
Citra Extra Pale Ale,Knee Deep Brewing Company,3.90
Maduro,Cigar City Brewing,3.66
Monk,Benelux Brasserie Artisanale,3.35
Old Rasputin XV Anniversary Barrel Aged Stout,North Coast Brewing Co.,4.35
Prospect : Citra,Left Field Brewery,3.79
AleSmith Speedway Stout,AleSmith Brewing Company,4.32
Lead Off Single,Left Field Brewery,3.57
Sin-Tax,Mother Earth Brew Co.,3.70
Inferno Ale,The Lost Abbey,4.44
Drake's IPA,Drake's Brewing Co.,3.77
Crystal Pale Ale,Boston Beer Company (Samuel Adams),3.25
Das Sound Wave,Siren Craft Brew,3.42
Chipotle Ale,Rogue Ales,3.11
Gotta Get Up To Get Down,Wiseacre Brewing,4.34
Rathbone,Phantom Carriage,4.41
Hard Root Beer,Mission Brewery,3.64
Bell's Cherry Stout,"Bell's Brewery, Inc.",3.75
Samuel Smith's The Famous Taddy Porter,Samuel Smith Old Brewery (Tadcaster),3.42
Sexual Chocolate,Foothills Brewing Company,4.12
Redd's Strawberry Ale,Miller Brewing Co.,2.71
"Lawyers, Guns & Money",Crazy Mountain Brewing Company,4.22
Lizards Mouth Imperial  Double IPA,Figueroa Mountain Brewing Co.,4.29
Massive Barrel Retaliation,Flat 12 Bierwerks,4.35
Sans Pagaie,The Bruery,4.55
Bare Bottom Madness,Door County Brewing Co.,3.59
Stone Ruination IPA,Stone Brewing Co.,4.52
Strawberry Lambic,Upland Brewing Company,4.21
Recursion,Bottle Logic Brewing,3.83
Barking Squirrel Lager,Hop City Brewing Co.,3.20
Lil Troll IPA,Firefly Hollow Brewing Co.,3.50
La Morsure,Le Trou Du Diable,3.95
Congress Street IPA,Trillium Brewing Company,5.00
Crooked Stave Raspberry Dark Origins,Crooked Stave Brewery & Taproom,4.54
Halleck Pale Ale,Chestnut Brew Works,4.41
Denver Pale Ale,Great Divide Brewing Company,3.51
Demanda Double IPA,Spiteful Brewing,4.32
Maibock,Naked Dove Brewing Company,3.47
Waldo's Special Ale,Lagunitas Brewing Company,4.50
Ashland Amber,Caldera Brewing Company,4.31
Samuel Adams Honey Queen,Boston Beer Company (Samuel Adams),3.67
Alaskan Hopothermia,Alaskan Brewing Co.,4.18
Bulldog Red Irish Ale,Cranker's Brewery,3.25
Shovelhead,Buckeye Lake Brewery,3.83
Assassin Imperial Stout,Toppling Goliath Brewing Company,4.77
Coffee Stout,Thimble Island Brewing Company,3.46
Tröegs Nugget Nectar,Tröegs Brewing Company,4.33
Real Heavy,Real Ale Brewing Company,3.77
Abbey Dubbel,Flying Fish Brewing Company,3.69
Double Shot,Tree House Brewing Company,4.67
Beltaine,Beltaine Appennino Risorse,3.79
Progenitor,Crooked Stave Brewery & Taproom,4.35
Póg Mo Thóin,Lena Brewing Company,3.09
Ayinger Celebrator Doppelbock,Privatbrauerei Franz Inselkammer KG / Brauerei Aying,4.20
Alvinne Undressed,Picobrouwerij Alvinne,3.63
Candi,Old Dominion Brewing Company,3.75
Back In Black,21st Amendment Brewery,4.13
Malpais Stout,La Cumbre Brewing Co.,4.28
Saison De Blanc,Insight Brewing,4.17
Mervisia,Birrificio Civale,4.08
Saison Deuxieme,de Garde Brewing,4.40
Berliner Style Weisse,Gasthaus & Gosebrauerei Bayerischer Bahnhof,3.87
Honker's Ale,Goose Island Beer Co.,3.00
Piccolo IPA,Insight Brewing,3.77
Peach Bu,de Garde Brewing,4.29
Tempore,Birrificio Civale,4.03
Mystic Bridge IPA,Cottrell Brewing Co.,3.94
Lamb & Flag ESB,Insight Brewing,3.33
Citra Hose,de Garde Brewing,4.38
Chiswick Porter,Insight Brewing,3.93
Apricot Wheat,Ithaca Beer Company,4.67
Amarillo Hose,de Garde Brewing,4.56
Showdown Rye IPA,Great Divide Brewing Company,3.94
Imperial Raz Bu,de Garde Brewing,4.63
Green Line,Goose Island Beer Co.,3.58
Curiosity IPA,Insight Brewing,3.75
Imperial Purple Raz Bu,de Garde Brewing,4.63
1554 Black Lager,New Belgium Brewing,3.70
Janus : Future,Four Quarters Brewing Co.,4.46
XV (√225 Saison),BFM (Brasserie des Franches-Montagnes),4.37
2XONE - Equinox (2015),Southern Tier Brewing Company,4.00
Great Lakes Commodore Perry IPA,Great Lakes Brewing Co.,3.91
Hale's Kölsch,Hale's Ales Brewery & Pub,3.25
Bush De Nuits,Brasserie Dubuisson Frères sprl,4.18
UFO Big Squeeze Shandy,Harpoon Brewery & Beer Hall,3.81
Andechser Doppelbock Dunkel,Klosterbrauerei Andechs,4.13
Alaskan Smoked Porter,Alaskan Brewing Co.,4.55
Lupulin Express,Corralitos Brewing Co.,4.71
Terzo Miglio,Birrificio Rurale,3.89
Don De Dieu,Unibroue,4.44
Triple Amnesia IPA,Indian Wells Brewing Company,3.95
Grand Cru - Bourbon Barrel Aged,North Coast Brewing Co.,4.21
O'Doyle Rules,Gilgamesh Brewing,3.25
Hall Of Fame: Imperial San Diego Pale Ale,AleSmith Brewing Company,4.25
Selezione 75,Mastri Birrai Umbri,3.71
Stone / Farking / Wheaton W00tstout,Stone Brewing Co.,3.96
Rogue Farms 7 Hop IPA,Rogue Ales,3.79
Florence Wheat Saison,Hill Farmstead Brewery,4.49
Bluebeery Flavored Ale,Marin Brewing Company,3.96
Noyade De La Sorcière,Microbrasserie Goudale,4.10
IPA Of The Month : June 2015 (Wally),Foothills Brewing Company,4.16
Lost Cove Pale Ale,Highland Brewing,3.58
Brewers’ Cut Helles,Real Ale Brewing Company,3.50
Hop Showers,Other Half Brewing Co.,4.20
Buckethead IPA,Thirsty Planet Brewing Company,3.53
Bourbon Barrel Monster 29,Dark Horse Brewing Company,4.27
Cuvée Des Jacobins Rouge,Brouwerij Bockor N.V.,3.75
La Chouffe,Brasserie d'Achouffe,4.41
18th Anniversary IPA,Stone Brewing Co.,4.06
Zatecký Gus Ležák,Baltika Breweries,2.92
Lug Tread Lagered Ale,Beau's All Natural Brewing Company,3.50
White Thai,Westbrook Brewing Co.,4.02
Dark Star Blend #2,Grey Sail Brewing of Rhode Island,4.25
Agnus Triple Ale,Brouwerij Corsendonk,4.00
Oude Tart,The Bruery,4.33
Batch #100,Benelux Brasserie Artisanale,4.17
Cucumber Crush,10 Barrel Brewing Co.,4.14
Bourbon Barrel Wood Burner,Jackie O's Pub & Brewery,4.56
Together,Wander Brewing,3.92
Chainbreaker White IPA,Deschutes Brewery,4.03
Pawpaw,Upland Brewing Company,4.50
Sierra Nevada Southern Hemisphere Harvest Fresh Hop IPA,Sierra Nevada Brewing Co.,3.84
La Quatorze,BFM (Brasserie des Franches-Montagnes),3.75
Rocko's Milk Stout,Spencer Devon Brewing,4.00
Twilight Summer Ale,Deschutes Brewery,4.50
IPA (India Pale Ale),Southern Tier Brewing Company,4.16
El Guapo IPA,O'Connor Brewing Co.,4.41
McSwagger's,Crooked Can Brewing Company,3.25
Caldera IPA,Caldera Brewing Company,3.83
Buxton / Evil Twin Come Again,Buxton Brewery,3.88
Rodenbach Classic (Red),Brouwerij Rodenbach N.V.,3.88
No Rules Pale Ale,Half Acre Beer Company,4.16
Doglost Lager,Wander Brewing,3.47
IndieFerm Dubbel,Independent Fermentations Brewing (IndieFerm),4.14
Casual Session IPA,Red Brick Brewing Company,3.71
Coffeehouse Porter,Berkshire Brewing Company Inc.,4.35
Wet Hot American Wheat,Finch's Beer Co.,3.60
Sea Legs Baltic Porter,Uinta Brewing Company,3.79
Old Pro Gose,Union Craft Brewing Company,3.83
Indiana Amber,Oaken Barrel Brewing Company,3.30
Blow Up Your TV,Trinity Brewing Company,3.90
Lion Pale Double Bock,"Měťanský Pivovar Havlíčkův Brod, A.S.",3.28
On The Spot #4 (AAA IPA),Wander Brewing,3.69
Coffee Porter,Smog City Brewing,4.05
Spontanapricot,Mikkeller ApS,4.25
Siberian Black Magic Panther (Apple Brandy),Westbrook Brewing Co.,4.47
FlowerLand,Pretty Things Beer & Ale Project,4.17
Sierra Nevada / Boulevard Terra Incognita,Sierra Nevada Brewing Co.,4.13
Double Chocolate Stout,Rogue Ales,4.63
Drafty Window,Hopothesis Beer Company,3.48
Kumquat Saison,Smog City Brewing,4.20
Barrel-Aged Silhouette,Lift Bridge Brewery,4.61
Super Going,Grimm Artisanal Ales,4.04
HOODOO,Voodoo Brewing Company,3.72
Bell's Amber Ale,"Bell's Brewery, Inc.",4.00
Squatters Outer Darkness,Utah Brewers Cooperative,3.44
UFO Hefeweizen,Harpoon Brewery & Beer Hall,3.75
Sixty-One (61),Dogfish Head Brewery,3.60
Hops For Heroes: Homefront IPA,Revolution Brewing Company,3.64
Chrysalis,Four Quarters Brewing Co.,4.00
Crime Of Passion,Bullfrog Brewery,2.56
Wit Fit,Mikkeller ApS,3.42
Live Oak Pilz,Live Oak Brewing Company,3.87
Swamp Ape Double Black Ipa,Florida Beer Company,3.49
Double Shot - Chopped Oranges,Tree House Brewing Company,4.54
Jadis,Birra Toccalmatto,3.84
Shiner Bock,Spoetzl Brewery / Shiner,3.25
On The Spot #5 (Wai-iti Hops),Wander Brewing,3.88
Moscow Mule Gin Barrel Aged,Four Quarters Brewing Co.,5.00
Hofbräu Maibock (Urbock),Hofbräuhaus München,3.80
Schöfferhofer Grapefruit Weizen-Mix,Binding-Brauerei AG,3.95
Unicornucopia (2015) W/ Brettanomyces Lambicus & Raspberries,Wiseacre Brewing,1.00
Freedive IPA,Coppertail Brewing Co.,4.46
Sophomoric Saison,18th Street Brewery,4.19
Little Soldier,Ahnapee Brewery,3.00
Stone Enjoy After,Stone Brewing Co.,3.76
Noble Rot,Dogfish Head Brewery,3.50
Lahaina Town Brown,Maui Brewing Co.,3.77
Double Simcoe IPA,Weyerbacher Brewing Co.,4.30
Great Cookie Beer,Four Quarters Brewing Co.,4.77
Brooklyn Dry Irish Stout,Brooklyn Brewery,3.09
Tequila Barrel Aged Ophelia,Breckenridge Brewery,4.15
Anchorage / Jolly Pumpkin Calabaza Boreal,Anchorage Brewing Company,4.42
New Holland Tasmanian Hatter,New Holland Brewing Company,4.40
Breck IPA,Breckenridge Brewery,3.58
Double Shot - Blackberry,Tree House Brewing Company,4.45
Shake Chocolate Porter,Boulder Beer / Wilderness Pub,4.07
Gumballhead,3 Floyds Brewing Co.,4.50
Pure Fury,Rhinegeist Brewery,3.80
Hopsy Dazy,Great South Bay Brewery,3.36
Cidre,Stella Artois,3.12
A-10 Warthog Double IPA,OPA-OPA Steakhouse & Brewery,3.59
Lev Black Lion,"Měťanský Pivovar Havlíčkův Brod, A.S.",3.47
Mr Mean,Warped Wing Brewing Company,4.00
White Rajah,The Brew Kettle Taproom & Smokehouse / Production Works,4.26
Lot #6 Double IPA,Evolution Craft Brewing Company,4.07
Sour Note: Berliner Weisse,18th Street Brewery,4.25
The 87 DIPA,Night Shift Brewing,3.96
Lactobacillus Blackberry Grove,Cigar City Brewing,4.64
Mikkeller / Siren Beer Geek Daydream,Mikkeller ApS,3.89
Pilsner,Steamworks Brewing Company,3.55
Funky Gold Amarillo,Prairie Artisan Ales,4.06
Farmer's Ale,Galena Brewing Company,3.72
Hoppin' To Heaven IPA,Hoppin' Frog Brewery,3.75
Manny's Pale Ale,Georgetown Brewing Company,3.75
Why Can't IBU,Stillwater Artisanal Ales,3.65
Peak Organic Pale Ale,Peak Organic Brewing Company,3.66
Mary,Hill Farmstead Brewery,4.00
Last Chance IPA,Weyerbacher Brewing Co.,2.77
Mountain Livin' Pale Ale,Crazy Mountain Brewing Company,3.03
Number 22 Porter,Big Bend Brewing Co.,3.21
Not Your Father's Root Beer (10%),Small Town Brewery,4.00
Better Half,Mikkeller ApS,3.42
Hoegaarden Original White Ale,Brouwerij van Hoegaarden,4.00
Rothaus Pils Tannen Zäpfle,Badische Staatsbrauerei Rothaus AG,4.27
Dock Time,Stony Creek Brewery,3.71
Shock Top Lemon Shandy,Anheuser-Busch,3.50
Ice Hole Pale Ale,Great Lakes Brewery,3.47
Cloud 9,Cool Springs Brewery,3.64
Peak Organic Oak Aged Mocha Stout,Peak Organic Brewing Company,3.50
Chocolate Covered Pretzel Stout (Bourbon Barrel-Aged),Triple C Brewing Co.,4.15
Chateau Jiahu,Dogfish Head Brewery,4.43
The Kind IPA,Three Heads Brewing,3.50
Deacon Blues,Short's Brewing Company,3.91
Wachusett Horseshoe Ale,Wachusett Brewing Company,3.07
Dreamcrusher Double IPA,Deep Ellum Brewing Company,4.62
No Name IPA,Cody Brewing Company,3.00
Sierra Nevada Bigfoot Barleywine Style Ale,Sierra Nevada Brewing Co.,4.15
Hops & Honey,Plan Bee Farm Brewery,4.23
Lambickx,Vanberg & DeWulf,3.42
Eagle Claw Fist,Clown Shoes,3.50
Montmorency Vs Balaton,Jester King Brewery,4.40
Rebellion Red Ale,Klamath Basin Brewing Co. - The Creamery Brew Pub And Grill,3.70
Super Flare,4 Hands Brewing Co.,4.11
The Ballad Of Minnie Quay,Clown Shoes,4.43
Session Saison - White Wine Barrel Aged,Sweetgrass Brewing Co.,3.19
Fuel Cafe (Coffee Flavored Stout),"Lakefront Brewery, Inc.",4.11
Signature Series:  Imperial Stout,Shipyard Brewing Co.,3.83
Rightly So,Threes Brewing,3.66
Fort Point Pale Ale,Trillium Brewing Company,4.46
Santa's Little Helper,Port Brewing,4.25
Coffee Dinosmores,Off Color Brewing,4.25
Tarry Suchong,BFM (Brasserie des Franches-Montagnes),4.00
Farm Girl Saison,Lift Bridge Brewery,4.25
Robert Johnson's Hellhound On My Ale,Dogfish Head Brewery,3.99
Amsterdam Howl (Mixed Fermentation Farmhouse Ale),Amsterdam Brewing Company,3.79
Farmer's Tan,Southern Tier Brewing Company,3.25
Troublesome,Off Color Brewing,3.77
Berliner Lager,Jack's Abby Brewing,4.19
A Fistful Of Unidragon,Clown Shoes,4.40
Ta Luego,The Brew Gentlemen Beer Co.,4.18
Third Coast Old Ale,"Bell's Brewery, Inc.",4.36
Spring Batch,Mother's Brewing Company,4.03
Scurry,Off Color Brewing,3.75
Original Amber Ale,Cody Brewing Company,3.25
Point Classic Amber,Stevens Point Brewery,3.54
La Nada,J. Wakefield Brewing,4.32
Rumpkin,Avery Brewing Company,4.39
Chocolate Milk Stout,4 Hands Brewing Co.,4.75
Bricktown Brown,Bricktown Brewery,3.37
Stella Artois,Stella Artois,3.12
Slippery Slope,The People's Pint,4.00
Jucundus,Mike Hess Brewing - Miramar,3.60
Founders Breakfast Stout,Founders Brewing Company,4.90
Calico Copper Amber Ale,Ballast Point Brewing Company,4.03
Innis & Gunn Oloroso Cask,Innis & Gunn,3.45
Offsides,Benchmark Brewing,4.00
"Home, Sour Home",The Rare Barrel,4.45
Last Buffalo In The Park,Funky Buddha Brewery,4.55
Skylandia IPA,Wicked Weed Brewing,4.00
Time Capsule August 2014,Big Al Brewing,3.90
Stone 12.12.12 Vertical Epic Ale,Stone Brewing Co.,4.25
Flying Monkeys Sonic Elegance Belgian DIPA,Flying Monkeys Craft Brewery,3.85
Arcus IPA,Big Storm Brewing Company,4.00
Canyon,Carton Brewing Company,3.85
Eye of the Hawk,Mendocino Brewing Company,3.96
Centennial Red (Brewmaster Series),Long Trail Brewing Co.,3.75
51K IPA,Blackrocks Brewery,4.32
Kirsch Gose,Victory Brewing Company,3.91
Great Lakes Harry Porter,Great Lakes Brewery,3.59
Scythe Rye Pale Ale,Burial Beer Co.,4.00
The Audacity Of Hops,Cambridge Brewing Company,4.11
Mysterium Verum Highlander,Real Ale Brewing Company,4.18
Meadowlark IPA,Pretty Things Beer & Ale Project,3.96
Weihenstephaner Korbinian,Bayerische Staatsbrauerei Weihenstephan,4.27
Indra Kunindra,Ballast Point Brewing Company,4.27
Wachusett Imperial Pumpkin Ale,Wachusett Brewing Company,3.50
Akari Shogun,Half Acre Beer Company,3.50
Surf Wax,Burial Beer Co.,4.21
Pumking,Southern Tier Brewing Company,4.00
Iniquity (Imperial Black Ale),Southern Tier Brewing Company,4.25
Hand & Seal,Brooklyn Brewery,4.34
Excess IPL,Jack's Abby Brewing,4.21
Hop Odyssey: White IPA,Green Flash Brewing Co.,3.74
Bolo Coconut Brown,Burial Beer Co.,4.21
Smuttynose Shoals Pale Ale,Smuttynose Brewing Company,3.63
Ichtegem's Grand Cru,Brouwerij Strubbe,4.14
Sun Juice,Stony Creek Brewery,3.14
Old King Kölsch,Bricktown Brewery,3.57
Mudhoney,Burnt Hickory Brewery,4.08
Fire Ant Funeral,Texas Ale Project,3.87
Napoleon Reserve 2014,Free Will Brewing Co.,4.17
Samuel Adams Porch Rocker,Boston Beer Company (Samuel Adams),3.58
Lev Lion Lager,"Měťanský Pivovar Havlíčkův Brod, A.S.",3.31
White Hop Ale: 9th Pilot Batch,Lost Forty Brewery,3.84
Hardcore Chimera,Finch's Beer Co.,3.92
Apeiron,Infinite Ale Works,3.69
Jörmungandrsblod,HammerHeart Brewing Company,3.88
Balling The Queen,Tyranena Brewing Company,4.25
Summer Daze,Mad Anthony Brewing Company,3.67
Allagash Tripel Ale,Allagash Brewing Company,4.39
Undercrown,18th Street Brewery,3.99
Ruddy Radish,Weeping Radish Eco Farm & Brewery,3.65
Sterling,Plan Bee Farm Brewery,3.71
Black Creek Southern Style Imperial Stout,Lazy Magnolia Brewing Company,4.10
Smuttynose Durty Mud Season Hoppy Brown Ale,Smuttynose Brewing Company,4.01
Hay Day,Oast House Brewers,2.99
Barstool American Golden Ale,Foolproof Brewing Company,3.10
"Oak Cliff Coffee Ale, Coffee Ale",Deep Ellum Brewing Company,4.26
Rubbel Dubbel,Infinite Ale Works,3.64
Belhaven Scottish Ale,Belhaven Brewery Company Ltd.,3.71
Stationmaster's Stout,Junction Craft Brewing,3.30
CrossBones Session IPA,Heavy Seas Beer,3.33
"The Good, The Bad & The Unidragon",Clown Shoes,4.28
Oaked Diabolik,Mad Fox Brewing Company,4.25
Samuel Smith's Organic Strawberry Fruit Beer,Samuel Smith Old Brewery (Tadcaster),4.24
Cuvée Van De Keizer Blauw (Blue),Brouwerij Het Anker,4.50
Best Of Bubbles Contest (BOB) 2015 - Pilsner,Barley and Hops Grill & Microbrewery,4.25
DayTime,Lagunitas Brewing Company,3.25
Amsterdam Testify,Amsterdam Brewing Company,3.84
"Wealth & Taste, Chardonnay Barrel Aged",Deep Ellum Brewing Company,4.39
The Angel's Share - Bourbon Barrel-Aged,The Lost Abbey,4.59
Vin D'orge Américain,Microbrasserie Le Castor,3.89
Founders Sweet Repute,Founders Brewing Company,4.37
Spritz,Rhinegeist Brewery,3.59
Old Abominable,Stoudts Brewing Co.,3.75
Emerald IPA,Eel River Brewing Co.,3.25
Cantillon Mamouche,Brasserie Cantillon,3.53
Jaded (Import Series Vol. 3),Stillwater Artisanal Ales,4.35
Galaxy Pale Ale,Hill Farmstead Brewery,4.27
Light Lager,District ChopHouse & Brewery,3.75
San Diego Surprise,Alpine Beer Company,4.50
Noir,La Gueule de Bois,2.20
Railbender Ale,Erie Brewing Co.,4.07
White Chocolate Ale,Sonoran Brewing Company,3.74
Colorado Red,Snowbank Brewing,4.67
Dallas Blonde,Deep Ellum Brewing Company,3.51
Velvet Amber,District ChopHouse & Brewery,4.00
A L'Ancienne Old ALe,La Gueule de Bois,1.37
Otter Creek Citra Mantra,Otter Creek Brewing / Wolaver's,4.50
Brawler Pugilist Style Ale,Yards Brewing Co.,3.52
Snake Handler Double IPA,Good People Brewing Company,4.32
Pabst Blue Ribbon (PBR),Pabst Brewing Company,2.93
Yogi Borealis,Greenbush Brewing Company,3.83
Session Pale Ale,Hall Brewing Co.,3.29
Montpelier's Best Ambition Ale,Devils Backbone Brewing Company,3.40
American Beauty,Dogfish Head Brewery,3.77
Shiner White Wing,Spoetzl Brewery / Shiner,3.19
La Trappe Quadrupel (Oak Aged),Bierbrouwerij De Koningshoeven B.V.,4.00
Bedele Gold Label Special Beer,Bedele Brewery,3.53
Lunker,Steel Toe Brewing,3.64
Wild Amber,Wild Craft Brewery,3.35
AstroNut Brown Ale,Rocket Republic Brewing Company,4.01
Leisure Time Lager,Jack's Abby Brewing,3.73
Pale 31,Firestone Walker Brewing Co.,3.21
