Beer name,Brewery,Rating
Brett Head,Zero Gravity Craft Brewery / American Flatbread,4.29
Guinness Blonde American Lager,Guinness Ltd.,1.69
Whirlpool,Night Shift Brewing,4.02
Good Night Mekong,Cigar City Brewing,4.14
Dorothy (2015),Hill Farmstead Brewery,4.67
Farmhouse Pale Ale,Oxbow Brewing Company,4.24
Framrood,O'so Brewing Company & Tap House,4.25
Kronenbourg 1664 Blanc,Brasseries Kronenbourg,3.12
Kaleidoscope IPA,Phillips Brewing Company,4.21
ZeeLander,Toppling Goliath Brewing Company,4.35
Abascio-Cell (Zinfandel),Al's of Hampden / Pizza Boy Brewing,4
Kingfisher Premium Lager,United Breweries - UB Group,3
Krušovice Imperial,Královský Pivovar Krušovice a.s.,3.24
Blackberry Sour,Al's of Hampden / Pizza Boy Brewing,3.9
Cantillon Vigneronne,Brasserie Cantillon,4.59
Safari Amber,Anheuser-Busch,3.02
Fruit Stand - Blackberry,Casey Brewing & Blending,4.25
Coffee Barrel-Aged Framinghammer,Jack's Abby Brewing,4.66
Restorative Beverage For Invalids And Convalescents,BrewDog,4.21
25th Anniversary Flanders Red,Goose Island Beer Co.,3.85
Double Date,Goose Island Beer Co.,4.15
Siren / Prairie Artisan Ales Ratchet,Siren Craft Brew,3.78
Lagunitas Sucks (Brown Shugga Substitute Ale),Lagunitas Brewing Company,4
Grimm Vicar,Goose Island Beer Co.,4.3
Skully Barrel No. 17,Paradox Beer Company,4.52
Elevated IPA,La Cumbre Brewing Co.,3.96
Black Tot,Avery Brewing Company,3.11
Why Pamper Life's Complexity Sour Lagrrr!,SingleCut Beersmiths,3.5
Le Roar Grrrz Berry,Bullfrog Brewery,4.25
Bell's Expedition Stout,"Bell's Brewery, Inc.",4.27
Mexican Cake,Westbrook Brewing Co.,4.19
Jammer,Sixpoint Brewery,3.42
Tropicália,Creature Comforts,4.58
GUBNA Imperial IPA,Oskar Blues Grill & Brew,3.93
Hopfentea,Perennial Artisan Ales,3.71
Double Double Barrel Ale,Firestone Walker Brewing Co.,4.21
Bell's Kalamazoo Stout,"Bell's Brewery, Inc.",3.59
